CODE	SUPPLIER	SUPPCODE	DESCRIPTION	RETAIL	TRADE	MLP	DISC1	DISC2	FWDDATE	FWDRETAIL	FWDTRADE	FWDMLP	FWDDISC1	FWDDISC2
CUP15	13012	CUP15	MONTROSE 150X728MM BASE CUPBOARD(290MM D	169.65	135.74	169.680	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP15S	13012	CUP15S	MONTROSE 150X728MM BASE CUPBOARD(200MM D	169.65	135.74	169.680	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP20	13012	CUP20	MONTROSE 200X728MM BASE CUPBOARD(290MM D	169.65	135.74	169.680	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP20S	13012	CUP20S	MONTROSE 200X728MM BASE CUPBOARD(200MM D	169.65	135.74	169.680	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP25	13012	CUP25	MONTROSE 250X728MM BASE CUPBOARD(290MM D	169.64	135.74	169.680	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP25S	13012	CUP25S	MONTROSE 250X728MM BASE CUPBOARD(200MM D	182.02	145.65	182.056	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP30	13012	CUP30	MONTROSE 300X728MM BASE CUPBOARD(290MM D	189.85	151.89	189.872	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP30S	13012	CUP30S	MONTROSE 300X728MM BASE CUPBOARD(200MM D	189.99	152.01	190.010	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP35	13012	CUP35	MONTROSE 350X728MM BASE CUPBOARD(290MM D	203.24	162.60	203.266	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP35S	13012	CUP35S	MONTROSE 350X728MM BASE CUPBOARD(200MM D	203.24	162.60	203.266	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP40	13012	CUP40	MONTROSE 400X728MM BASE CUPBOARD(290MM D	215.60	172.49	215.631	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP40S	13012	CUP40S	MONTROSE 400X728MM BASE CUPBOARD(200MM D	215.60	172.49	215.631	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP45	13012	CUP45	MONTROSE 450X728MM BASE CUPBOARD(290MM D	224.38	179.53	224.476	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP45S	13012	CUP45S	MONTROSE 450X728MM BASE CUPBOARD(200MM D	224.39	179.52	224.476	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP50	13012	CUP50	MONTROSE 500X728MM BASE CUPBOARD(290MM D	236.82	189.47	236.841	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP50S	13012	CUP50S	MONTROSE 500X728MM BASE CUPBOARD(200MM D	236.82	189.47	236.841	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP60	13012	CUP60	MONTROSE 600X728MM BASE CUPBOARD(290MM D	298.68	238.97	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP60S	13012	CUP60S	MONTROSE 600X728MM BASE CUPBOARD(200MM D	298.68	238.97	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP70	13012	CUP70	MONTROSE 700X728MM BASE CUPBOARD(290MM D	318.12	254.52	318.150	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP70S	13012	CUP70S	MONTROSE 700X728MM BASE CUPBOARD(200MM D	318.12	254.52	318.150	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP80	13012	CUP80	MONTROSE 800X728MM BASE CUPBOARD(290MM D	337.56	270.07	337.589	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP80S	13012	CUP80S	MONTROSE 800X728MM BASE CUPBOARD(200MM D	337.56	270.07	337.589	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP90	13012	CUP90	MONTROSE 900X728MM BASE CUPBOARD(290MM D	355.24	284.21	355.268	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUP90S	13012	CUP90S	MONTROSE 900X728MM BASE CUPBOARD(200MM D	355.24	284.21	355.268	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUT30	13012	CUT30	MONTROSE 300MM TALL PLAIN WALL CUP(290MM	282.77	226.23	282.804	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUT30M	13012	CUT30M	MONTROSE 300MM TALL MIRR WALL CUP(290MM 	297.80	238.26	297.820	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUT35	13012	CUT35	MONTROSE 350MM TALL PLAIN WALL CUP(290MM	298.69	238.96	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUT35M	13012	CUT35M	MONTROSE 350MM TALL MIRR WALL CUP(290MM 	310.17	248.16	310.196	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUT40	13012	CUT40	MONTROSE 400MM TALL PLAIN WALL CUP(290MM	311.94	249.56	311.968	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CUT45	13012	CUT45	MONTROSE 450MM TALL PLAIN WALL CUP(290MM	327.86	262.29	327.875	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW15	13012	CW15	MONTROSE 150MM WALL UNIT 584MM TALL(200M	167.90	134.33	167.909	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW15SL	13012	CW15SL	MONTROSE 150MM WALL UNIT 584MM TALL(130M	167.90	134.32	167.909	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW20	13012	CW20	MONTROSE 200MM WALL UNIT 584MM TALL(200M	167.88	134.33	167.909	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW20SL	13012	CW20SL	MONTROSE 200MM WALL UNIT 584MM TALL(130M	167.90	134.32	167.909	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW25	13012	CW25	MONTROSE 250MM WALL UNIT 584MM TALL(200M	178.50	142.81	178.514	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW25SL	13012	CW25SL	MONTROSE 250MM WALL UNIT 584MM TALL(130M	178.51	142.82	178.514	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW30	13012	CW30	MONTROSE 300MM WALL UNIT 584MM TALL(200M	188.23	150.59	188.239	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW30L	13012	CW30L	MONTROSE 300MM GLAZ WALL CUP(200MM DEEP)	235.94	188.76	235.961	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW30M	13012	CW30M	MONTROSE 300MM MIRR WALL CUP(200MM DEEP)	194.00	155.22	194.026	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW30SL	13012	CW30SL	MONTROSE 300MM WALL UNIT 584MM TALL(130M	188.23	150.59	188.239	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW35	13012	CW35	MONTROSE 350MM WALL UNIT 584MM TALL(200M	194.00	155.22	194.026	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW35L	13012	CW35L	MONTROSE 350MM GLAZ WALL CUP(200MM DEEP)	245.65	196.54	245.686	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW35M	13012	CW35M	MONTROSE 350MM MIRR WALL CUP(200MM DEEP)	215.60	172.49	215.631	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW35SL	13012	CW35SL	MONTROSE 350MM WALL UNIT 584MM TALL(130M	197.95	158.36	197.964	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW40	13012	CW40	MONTROSE 400MM WALL UNIT 584MM TALL(200M	212.96	170.37	212.980	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW40L	13012	CW40L	MONTROSE 400MM GLAZ WALL CUP(200MM DEEP)	255.38	204.32	255.400	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW40SL	13012	CW40SL	MONTROSE 400MM WALL UNIT 584MM TALL(130M	212.97	170.37	212.980	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW45	13012	CW45	MONTROSE 450MM WALL UNIT 584MM TALL(200M	221.80	177.45	221.825	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW45L	13012	CW45L	MONTROSE 450MM GLAZ WALL CUP(200MM DEEP)	265.98	212.80	266.005	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW45SL	13012	CW45SL	MONTROSE 450MM WALL UNIT 584MM TALL(130M	221.82	177.46	221.825	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW50	13012	CW50	MONTROSE 500MM WALL UNIT 584MM TALL(200M	233.27	186.65	233.310	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW50L	13012	CW50L	MONTROSE 500MM GLAZ WALL CUP(200MM DEEP)	277.47	221.99	277.501	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW50SL	13012	CW50SL	MONTROSE 500MM WALL UNIT 584MM TALL(130M	233.31	186.61	233.310	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW60	13012	CW60	MONTROSE 600MM WALL UNIT 584MM TALL(200M	296.91	237.55	296.940	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW60L	13012	CW60L	MONTROSE 600MM GLAZ WALL CUP(200MM DEEP)	402.08	321.68	402.110	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW60M	13012	CW60M	MONTROSE 600MM MIRR WALL CUP(200MM DEEP)	352.57	282.08	352.616	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW60MSL	13012	CW60MSL	MONTROSE 600MM MIRR WALL CUP(130MM DEEP)	352.61	282.07	352.616	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW60SL	13012	CW60SL	MONTROSE 600MM WALL UNIT 584MM TALL(130M	296.94	237.58	296.940	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW70	13012	CW70	MONTROSE 700MM WALL UNIT 584MM TALL(200M	311.05	248.85	311.076	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW70L	13012	CW70L	MONTROSE 700MM GLAZ WALL CUP(200MM DEEP)	420.65	336.53	420.669	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW70M	13012	CW70M	MONTROSE 700MM MIRR WALL CUP(200MM DEEP)	369.39	295.52	369.404	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW70SL	13012	CW70SL	MONTROSE 700MM WALL UNIT 584MM TALL(130M	316.37	253.11	316.379	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW80	13012	CW80	MONTROSE 800MM WALL UNIT 584MM TALL(200M	330.50	264.42	330.526	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW80L	13012	CW80L	MONTROSE 800MM GLAZ WALL CUP(200MM DEEP)	432.12	345.72	432.154	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW80SL	13012	CW80SL	MONTROSE 800MM WALL UNIT 584MM TALL(130M	330.51	264.41	330.526	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW90	13012	CW90	MONTROSE 900MM WALL UNIT 584MM TALL(200M	352.59	282.09	352.616	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW90L	13012	CW90L	MONTROSE 900MM GLAZ WALL CUP(200MM DEEP)	448.04	358.44	448.061	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CW90SL	13012	CW90SL	MONTROSE 900MM WALL UNIT 584MM TALL(130M	352.61	282.09	352.616	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWD60MS	13012	CWD60MS	MONTROSE 600MM WALL MIRROR CUP(150MM DEE	352.61	282.09	352.616	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWD70MS	13012	CWD70MS	MONTROSE 700MM WALL MIRROR CUP(150MM DEE	369.37	295.52	369.404	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP15	13012	CWP15	MONTROSE 150MM WALL UNIT 728MM TALL(200M	167.90	134.33	167.909	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP15SL	13012	CWP15SL	MONTROSE 150MM WALL UNIT 728MM TALL(130M	167.90	134.34	167.909	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP20	13012	CWP20	MONTROSE 200MM WALL UNIT 728MM TALL(200M	167.88	134.33	167.909	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP20SL	13012	CWP20SL	MONTROSE 200MM WALL UNIT 728MM TALL(130M	167.90	134.32	167.909	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP25	13012	CWP25	MONTROSE 250MM WALL UNIT 728MM TALL(200M	178.50	142.81	178.514	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP25SL	13012	CWP25SL	MONTROSE 250MM WALL UNIT 728MM TALL(130M	178.51	142.80	178.514	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP30	13012	CWP30	MONTROSE 300MM WALL UNIT 728MM TALL(200M	188.23	150.59	188.239	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP30SL	13012	CWP30SL	MONTROSE 300MM WALL UNIT 728MM TALL(130M	188.23	150.59	188.239	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP35	13012	CWP35	MONTROSE 350MM WALL UNIT 728MM TALL(200M	197.94	158.37	197.964	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP35SL	13012	CWP35SL	MONTROSE 350MM WALL UNIT 728MM TALL(130M	197.95	158.36	197.964	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP40	13012	CWP40	MONTROSE 400MM WALL UNIT 728MM TALL(200M	212.96	170.37	212.980	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP40SL	13012	CWP40SL	MONTROSE 400MM WALL UNIT 728MM TALL(130M	212.97	170.39	212.980	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP45	13012	CWP45	MONTROSE 450MM WALL UNIT 728MM TALL(200M	221.80	177.45	221.825	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP45SL	13012	CWP45SL	MONTROSE 450MM WALL UNIT 728MM TALL(130M	221.82	177.46	221.825	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP50	13012	CWP50	MONTROSE 500MM WALL UNIT 728MM TALL(200M	233.27	186.65	233.310	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP50SL	13012	CWP50SL	MONTROSE 500MM WALL UNIT 728MM TALL(130M	233.31	186.65	233.310	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP60	13012	CWP60	MONTROSE 600MM WALL UNIT 728MM TALL(200M	296.91	237.55	296.940	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP60SL	13012	CWP60SL	MONTROSE 600MM WALL UNIT 728MM TALL(130M	296.94	237.55	296.940	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP70	13012	CWP70	MONTROSE 700MM WALL UNIT 728MM TALL(200M	311.05	248.85	311.076	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP70SL	13012	CWP70SL	MONTROSE 700MM WALL UNIT 728MM TALL(130M	316.37	253.11	316.379	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP80	13012	CWP80	MONTROSE 800MM WALL UNIT 728MM TALL(200M	330.50	264.42	330.526	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP80SL	13012	CWP80SL	MONTROSE 800MM WALL UNIT 728MM TALL(130M	330.51	264.41	330.526	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP90	13012	CWP90	MONTROSE 900MM WALL UNIT 728MM TALL(200M	352.59	282.09	352.616	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CWP90SL	13012	CWP90SL	MONTROSE 900MM WALL UNTI 728MM TALL(130M	352.61	282.09	352.616	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DBDVH12	13012	DBDVH12	DANBURY 4DOOR 1200X828X575 UNIT(NEED TOP	954.17	759.00	954.170	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DBDVH13	13012	DBDVH13	DANBURY 4DOOR 1300X828X575 UNIT(NEED TOP	995.83	789.00	995.830	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DBDVH14	13012	DBDVH14	DANBURY 4DOOR 1400X828X575 UNIT(NEED TOP	1037.50	829.00	1037.500	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DMUD10	13012	DMUD10	MONTROSE 1000X850MM DELUXE MIRROR UNIT	750.27	600.24	750.304	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DMUD10S	13012	DMUD10S	MONTROSE 1000X850MM DELUXE MIRROR UNIT	750.21	600.24	750.304	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DMUD12	13012	DMUD12	MONTROSE 1200X850MM DELUXE MIRROR UNIT	794.48	635.59	794.495	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DMUD12S	13012	DMUD12S	MONTROSE 1200X850MM DELUXE MIRROR UNIT	794.48	635.59	794.495	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DMUS50	13012	DMUS50	MONTROSE 500X850MM DELUXE MIRROR UNIT	502.84	402.28	502.858	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DMUS50S	13012	DMUS50S	MONTROSE 500X850MM DELUXE MIRROR UNIT	502.84	402.28	502.858	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DMUS60	13012	DMUS60	MONTROSE 600X850MM DELUXE MIRROR UNIT	529.35	423.49	529.370	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DMUS60S	13012	DMUS60S	MONTROSE 600X850MM DELUXE MIRROR UNIT	529.35	423.49	529.370	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DTR	13012	DTR	MONTROSE PULL OUT TOWEL RAIL CHROME	69.78	55.85	69.812	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUH10	13012	DUH10	MONTROSE 1000X584MM LOW BASIN(550MM DEEP	624.81	499.84	624.815	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUH10S	13012	DUH10S	MONTROSE 1000X584MM LOW BASIN(400MM DEEP	604.48	483.59	604.485	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUH50S	13012	DUH50S	MONTROSE 500X584MM LOW BASIN(400MM DEEP)	467.48	374.00	467.500	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUH60	13012	DUH60	MONTROSE 600X584MM LOW BASIN(550MM DEEP)	520.51	416.42	520.525	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUH60S	13012	DUH60S	MONTROSE 600X584MM LOW BASIN(400MM DEEP)	499.29	399.44	499.315	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUH70	13012	DUH70	MONTROSE 700X584MM LOW BASIN(550MM DEEP)	547.02	437.62	547.037	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUH70S	13012	DUH70S	MONTROSE 700X584MM LOW BASIN(400MM DEEP)	525.80	420.66	525.827	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUH80	13012	DUH80	MONTROSE 800X584MM LOW BASIN(550MM DEEP)	572.67	458.14	572.670	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUH80S	13012	DUH80S	MONTROSE 800X584MM LOW BASIN(400MM DEEP)	552.31	441.86	552.340	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUH90	13012	DUH90	MONTROSE 900X584MM LOW BASIN(550MM DEEP)	600.05	480.04	600.062	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUH90S	13012	DUH90S	MONTROSE 900X584MM LOW BASIN(400MM DEEP)	578.83	463.08	578.852	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUHP80	13012	DUHP80	MONTROSE 800X728MM LOW BASIN(550MM DEEP)	552.32	441.87	552.340	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUL10	13012	DUL10	MONTROSE 1000X474MM LOW BASIN(550MM DEEP	624.81	499.84	624.815	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUL10S	13012	DUL10S	MONTROSE 1000X474MM LOW BASIN(400MM DEEP	604.48	483.59	604.485	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUL50S	13012	DUL50S	MONTROSE 500X474MM LOW BASIN(400MM DEEP)	467.48	374.00	467.500	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUL60	13012	DUL60	MONTROSE 600X474MM LOW BASIN(550MM DEEP)	520.51	416.42	520.525	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUL60S	13012	DUL60S	MONTROSE 600X474MM LOW BASIN(400MM DEEP)	499.29	399.44	499.315	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUL70	13012	DUL70	MONTROSE 700X474MM LOW BASIN(550MM DEEP)	547.02	437.62	547.037	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUL70S	13012	DUL70S	MONTROSE 700X474MM LOW BASIN(400MM DEEP)	525.81	420.66	525.827	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUL80	13012	DUL80	MONTROSE 800X474MM LOW BASIN(550MM DEEP)	572.67	458.14	572.670	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUL80S	13012	DUL80S	MONTROSE 800X474MM LOW BASIN(400MM DEEP)	552.31	441.86	552.340	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUL90	13012	DUL90	MONTROSE 900X474MM LOW BASIN(550MM DEEP)	600.05	480.04	600.062	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DUL90S	13012	DUL90S	MONTROSE 900X474MM LOW BASIN(400MM DEEP)	578.83	463.08	578.852	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULH10	13012	DULH10	MONTROSE 1000X474MM LOW BASIN(550MM DEEP	624.79	499.84	624.815	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULH10S	13012	DULH10S	MONTROSE 1000X474MM LOW BASIN(400MM DEEP	604.48	483.58	604.485	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULH50S	13012	DULH50S	MONTROSE 500X474MM LOW BASIN(400MM DEEP)	467.48	374.00	467.500	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULH60	13012	DULH60	MONTROSE 600X474MM LOW BASIN(550MM DEEP)	520.50	416.42	520.525	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULH60S	13012	DULH60S	MONTROSE 600X474MM LOW BASIN(400MM DEEP)	499.29	399.44	499.315	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULH70	13012	DULH70	MONTROSE 700X474MM LOW BASIN(550MM DEEP)	547.00	437.62	547.037	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULH70S	13012	DULH70S	MONTROSE 700X474MM LOW BASIN(400MM DEEP)	525.80	420.66	525.827	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULH80	13012	DULH80	MONTROSE 800X474MM LOW BASIN(550MM DEEP)	572.64	458.14	572.670	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULH80S	13012	DULH80S	MONTROSE 800X474MM LOW BASIN(400MM DEEP)	552.33	441.86	552.340	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULH90	13012	DULH90	MONTROSE 900X474MM LOW BASIN(550MM DEEP)	600.04	480.04	600.062	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULH90S	13012	DULH90S	MONTROSE 900X474MM LOW BASIN(400MM DEEP)	578.83	463.08	578.852	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULP10	13012	DULP10	MONTROSE 1000X618MM LOW BASIN(550MM DEEP	624.81	499.84	624.815	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULP10S	13012	DULP10S	MONTROSE 1000X618MM LOW BASIN(400MM DEEP	604.48	483.59	604.485	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULP50S	13012	DULP50S	MONTROSE 500X618MM LOW BASIN(400MM DEEP)	467.49	374.00	467.500	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULP60	13012	DULP60	MONTROSE 600X618MM LOW BASIN(550MM DEEP)	520.51	416.42	520.525	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULP60S	13012	DULP60S	MONTROSE 600X618MM LOW BASIN(400MM DEEP)	499.30	399.44	499.315	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULP70	13012	DULP70	MONTROSE 700X618MM LOW BASIN(550MM DEEP)	547.02	437.62	547.037	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULP70S	13012	DULP70S	MONTROSE 700X618MM LOW BASIN(400MM DEEP)	525.81	420.66	525.827	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULP80	13012	DULP80	MONTROSE 800X618MM LOW BASIN(550MM DEEP)	572.67	458.14	572.670	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULP80S	13012	DULP80S	MONTROSE 800X618MM LOW BASIN(400MM DEEP)	552.33	441.86	552.340	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULP90	13012	DULP90	MONTROSE 900X618MM LOW BASIN(550MM DEEP)	600.05	480.04	600.062	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DULP90S	13012	DULP90S	MONTROSE 900X618MM LOW BASIN(400MM DEEP)	578.84	463.08	578.852	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVF50	13012	DVF50	MONTROSE 500X828MM FLOOR WC UNIT+CIS(290	404.74	323.80	404.761	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVF50S	13012	DVF50S	MONTROSE 500X828MM FLOOR WC UNIT+CI(200M	404.74	323.80	404.761	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVF60	13012	DVF60	MONTROSE 600X828MM FLOOR WC UNIT+CIS(290	404.74	323.80	404.761	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVF60S	13012	DVF60S	MONTROSE 600X828MM FLOOR WC UNIT+CI(200M	404.74	323.80	404.761	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVF70	13012	DVF70	MONTROSE 700X828MM FLOOR WC UNIT+CIS(290	472.56	378.07	472.595	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVF70S	13012	DVF70S	MONTROSE 700X828MM FLOOR WC UNIT+CI(200M	429.48	343.60	429.503	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVF80	13012	DVF80	MONTROSE 800X828MM FLOOR WC UNIT+CIS(290	439.20	351.38	439.228	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVF80S	13012	DVF80S	MONTROSE 800X828MM FLOOR WC UNIT+CI(200M	439.20	351.38	439.228	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVF90	13012	DVF90	MONTROSE 900X828MM FLOOR WC UNIT+CIS(290	453.34	362.69	453.364	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVF90S	13012	DVF90S	MONTROSE 900X828MM FLOOR WC UNIT+CI(200M	453.34	362.69	453.364	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVU50	13012	DVU50	MONTROSE 500X584MM WC UNIT+CIS(290MM DEE	383.53	306.83	383.551	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVU50S	13012	DVU50S	MONTROSE 500X584MM WC UNIT+CIS(200MM DEE	390.32	312.28	383.551	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVU60	13012	DVU60	MONTROSE 600X584MM WC UNIT+CIS(290MM DEE	383.53	306.83	383.551	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVU60S	13012	DVU60S	MONTROSE 600X584MM WC UNIT+CIS(200MM DEE	383.53	306.83	383.551	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVU70	13012	DVU70	MONTROSE 700X584MM WC UNIT+CIS(290MM DEE	404.74	323.80	404.761	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVU70S	13012	DVU70S	MONTROSE 700X584MM WC UNIT+CIS(200MM DEE	404.74	323.80	404.761	50.00	0.00		0.00	0.00	0.00	0.00	0.00
