CODE	SUPPLIER	SUPPCODE	DESCRIPTION	RETAIL	TRADE	MLP	DISC1	DISC2	FWDDATE	FWDRETAIL	FWDTRADE	FWDMLP	FWDDISC1	FWDDISC2
BPS70	13012	BPS70	MONTROSE 700MM STANDARD BATH END PANEL	96.23	77.01	96.325	50.00	0.00		0.00	0.00	0.00	0.00	0.00
BPS70HG	13012	BPS70HG	MONTROSE 700MM HI-GLOSS STANDARD BATH EN	120.39	96.33	120.409	50.00	0.00		0.00	0.00	0.00	0.00	0.00
BPS75	13012	BPS75	MONTROSE 750MM STANDARD BATH END PANEL	102.49	82.01	102.519	50.00	0.00		0.00	0.00	0.00	0.00	0.00
BPS75HG	13012	BPS75HG	MONTROSE 750MM HI-GLOSS STANDARD BATH EN	128.12	102.51	128.140	50.00	0.00		0.00	0.00	0.00	0.00	0.00
BPS80	13012	BPS80	MONTROSE 800MM STANDARD BATH END PANEL	110.44	88.38	110.473	50.00	0.00		0.00	0.00	0.00	0.00	0.00
BPS80HG	13012	BPS80HG	MONTROSE 800MM HI-GLOSS STANDARD BATH EN	138.07	110.47	138.098	50.00	0.00		0.00	0.00	0.00	0.00	0.00
BUP25	13012	BUP25	MONTROSE 250X728MM BIN UNIT(290MM DEPTH)	264.23	211.40	264.245	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CA30	13012	CA30	MONTROSE 300X584MM BASE CABINET(290MM DE	236.82	189.47	236.841	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CA35	13012	CA35	MONTROSE 350X584MM BASE CABINET(290MM DE	250.96	200.78	250.989	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CA40	13012	CA40	MONTROSE 400X584MM BASE CABINET(290MM DE	265.98	212.80	266.005	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CA45	13012	CA45	MONTROSE 450X584MM BASE CABINET(290MM DE	282.79	226.23	282.804	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CA50	13012	CA50	MONTROSE 500X584MM BASE CABINET(290MM DE	296.04	236.85	296.060	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CA60	13012	CA60	MONTROSE 600X584MM BASE CABINET(290MM DE	350.81	280.67	350.845	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CA70	13012	CA70	MONTROSE 700X584MM BASE CABINET(290MM DE	368.49	294.82	368.524	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CA80	13012	CA80	MONTROSE 800X584MM BASE CABINET(290MM DE	390.60	312.49	390.614	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CA90	13012	CA90	MONTROSE 900X584MM BASE CABINET(290MM DE	404.74	323.80	404.761	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CAP30	13012	CAP30	MONTROSE 300X728MM BASE CABINET(290MM DE	236.82	189.47	236.841	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CAP35	13012	CAP35	MONTROSE 350X728MM BASE CABINET(290MM DE	250.90	200.73	250.989	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CAP40	13012	CAP40	MONTROSE 400X728MM BASE CABINET(290MM DE	265.98	212.80	266.005	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CAP45	13012	CAP45	MONTROSE 450X728MM BASE CABINET(290MM DE	282.79	226.23	282.804	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CAP50	13012	CAP50	MONTROSE 500X728MM BASE CABINET(290MM DE	296.04	236.85	296.060	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CAP60	13012	CAP60	MONTROSE 600X728MM BASE CABINET(290MM DE	350.81	280.67	350.845	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CAP70	13012	CAP70	MONTROSE 700X728MM BASE CABINET(290MM DE	368.49	294.82	368.524	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CAP80	13012	CAP80	MONTROSE 800X728MM BASE CABINET(290MM DE	390.60	312.49	390.614	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CAP90	13012	CAP90	MONTROSE 900X728MM BASE CABINET(290MM DE	404.74	323.80	404.761	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CAT20	13012	CAT20	MONTROSE 200MM TOILET ROLL BASE UNIT(290	182.02	145.65	182.056	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CAT20HG	13012	CAT20HG	MONTROSE 200MM HI-GLOSS TOILET ROLL BASE	254.49	203.62	254.520	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CAT20S	13012	CAT20S	MONTROSE 200MM TOILET ROLL UNIT(200MM DE	182.02	145.65	182.056	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CAT20SHG	13012	CAT20SHG	MONTROSE 200MM HI-GLOSS TOILET ROLL BASE	254.49	203.62	254.520	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CATP20	13012	CATP20	MONTROSE 200MM TOILET ROLL BASE UNIT(290	182.02	145.65	182.056	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CATP20HG	13012	CATP20HG	MONTROSE 200MM HI-GLOSS TOILET ROLL BASE	254.49	203.62	254.520	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CATP20S	13012	CATP20S	MONTROSE 200MM TOILET ROLL BASE UNIT(200	182.02	145.65	182.056	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CATP20SHG	13012	CATP20SHG	MONTROSE 200MM HI-GLOSS TOILET ROLL BASE	254.49	203.62	254.520	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBT30	13012	CBT30	MONTROSE 300MM TALL BASE CUPBOARD(290MM 	295.14	236.12	295.169	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBT30S	13012	CBT30S	MONTROSE 300MM TALL BASE CUPBOARD(200MM)	295.14	236.12	295.169	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBT35	13012	CBT35	MONTROSE 350MM TALL BASE CUPBOARD(290MM 	312.82	250.27	312.848	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBT35S	13012	CBT35S	MONTROSE 350MM TALL BASE CUPBOARD(200MM 	312.82	250.27	312.848	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBT40	13012	CBT40	MONTROSE 400MM TALL BASE CUPBOARD(290MM 	324.30	259.46	324.332	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBT40S	13012	CBT40S	MONTROSE 400MM TALL BASE CUPBOARD(200MM 	324.30	259.46	324.332	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBT45	13012	CBT45	MONTROSE 450MM TALL BASE CUPBOARD(290MM 	340.22	272.21	340.240	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBT45S	13012	CBT45S	MONTROSE 450MM TALL BASE CUPBOARD(200MM	341.56	273.27	340.240	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBTP30	13012	CBTP30	MONTROSE 300X1208MM TALL BASE CUP(290MM 	295.14	236.12	295.169	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBTP30S	13012	CBTP30S	MONTROSE 300X1208MM TALL BASE CUP(200MM 	295.14	236.12	295.169	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBTP35	13012	CBTP35	MONTROSE 350X1208MM TALL BASE CUP(290MM 	312.82	250.27	312.848	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBTP35S	13012	CBTP35S	MONTROSE 350X1208MM TALL BASE CUP(200MM 	312.82	250.27	312.848	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBTP40	13012	CBTP40	MONTROSE 400X1208MM TALL BASE CUP(290MM 	324.30	259.46	324.332	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBTP40S	13012	CBTP40S	MONTROSE 400X1208MM TALL BASE CUP(200MM 	324.30	259.46	324.332	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBTP45	13012	CBTP45	MONTROSE 450X1208MM TALL BASE CUP(290MM 	340.22	272.21	340.240	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CBTP45S	13012	CBTP45S	MONTROSE 450X1208MM TALL BASE CUP(200MM 	340.22	272.21	340.240	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CCUL60	13012	CCUL60	MONTROSE 600X584MM LH CORNER BASE(300MM 	298.70	238.96	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CCUL60S	13012	CCUL60S	MONTROSE 600X584MM LH CORNER BASE(200MM 	298.70	238.61	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CCULP60	13012	CCULP60	MONTROSE 600X728MM LH CORNER BASE(300MM	298.70	238.60	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CCULP60S	13012	CCULP60S	MONTROSE 600X725MM LH CORNER BASE(200MM)	298.70	238.61	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CCUR60	13012	CCUR60	MONTROSE 600X584MM RH CORNER BASE(300MM 	298.70	238.61	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CCUR60S	13012	CCUR60S	MONTROSE 600X584MM RH CORNER BASE(200MM 	298.70	238.61	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CCURP60	13012	CCURP60	MONTROSE 600X728MM RH CORNER BASE(300MM 	298.70	238.61	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CCURP60S	13012	CCURP60S	MONTROSE 600X728MM RH CORNER BASE(200MM 	298.70	238.61	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CDVU80	13012	CDVU80	MONTROSE 800X584MM CLOAKROOM WC UNIT(290	639.80	511.85	639.831	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CDVU80S	13012	CDVU80S	MONTROSE 800X584MM CLOAKROOM WC UNIT(200	639.80	511.85	639.831	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CDVUP80	13012	CDVUP80	MONTROSE 800X728MM CLOAKROOM WC UNIT(290	639.80	511.85	639.831	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CDVUP80S	13012	CDVUP80S	MONTROSE 800X728MM CLOAKROOM WC UNIT(200	639.80	511.85	639.831	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CEUL25S	13012	CEUL25S	MONTROSE 250X584MM LH CORNER UNIT(200MM 	258.04	206.02	258.051	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CEUL30	13012	CEUL30	MONTROSE 300X584MM LH CORNER UNIT(300MM 	258.04	206.02	258.051	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CEULP25S	13012	CEULP25S	MONTROSE 250X728MM LH CORNER UNIT(200MM 	258.04	206.02	258.051	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CEULP30	13012	CEULP30	MONTROSE 300X728MM LH CORNER UNIT(300MM 	258.04	206.02	258.051	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CEUR25S	13012	CEUR25S	MONTROSE 250X584MM RH CORNER UNIT(200MM 	258.04	206.02	258.051	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CEUR30	13012	CEUR30	MONTROSE 300X584MM RH CORNER UNIT(300MM 	258.04	206.02	258.051	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CEURP25S	13012	CEURP25S	MONTROSE 250X728MM RH CORNER UNIT(200MM 	258.04	206.02	258.051	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CEURP30	13012	CEURP30	MONTROSE 300X728MM RH CORNER UNIT(300MM 	258.04	206.02	258.051	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CH30	13012	CH30	MONTROSE 300X584MM CHEST(290MM DEEP)	337.56	270.07	337.589	50.00	0.00		0.00	0.00	0.00	0.00	0.00
