PERIOD,DATE,JOURNAL,REFERENCE,VALUE,BRANCH,GLCODE,GLREPORT
201705,11/07/17,JV5550,MAY PAYMENTS ,49.13,2,310,12
201707,26/07/17,73528,83539/SIMPSONS ,83,2,630,54
201610,10/10/16,66155,74994/DAVROC LIMITED ,-40.32,2,720,56
201606,22/06/16,63125,71380/N.FROY AND SONS LIMITED ,34.08,2,700,58
201602,03/02/16,59893,67793/FM PRODUCTS ,117.06,2,630,54
201801,10/01/18,77972,91140/ROBERT LEE(LONDON)LTD ,-8.54,2,700,58
201707,10/07/17,73428,83432/SIMPSONS ,133,2,630,54
201703,14/03/17,69994,79266/MONTROSE FURNITURE ,83,2,700,58
201610,24/10/16,66358,75261/DAVROC LIMITED ,366.91,2,700,58
201606,01/06/16,62722,70932/IDEAL BATHROOMS ,-112.33,2,720,56
201607,29/07/16,63732,72255/SANEUX ,6.75,2,700,58
201801,31/01/18,78175,91371/SIMPSONS ,-211.6,2,720,56
201705,19/05/17,72015,81593/DAVROC LIMITED ,-13.68,2,720,56
201612,02/12/16,67773,76852/CLAYGATE DISTRIBUTION LTD ,10,2,700,58
201607,07/07/16,63935,72471/CLAYGATE DISTRIBUTION LTD ,35,2,630,54
201701,04/01/17,68177,76644/BRETT MARTIN LTD ,-2736.06,2,690,52
201601,20/01/16,59188,66852/DAVROC LIMITED ,-144.06,2,720,56
201601,31/01/16,58885,66473/EASTBROOK CO ,-375.12,2,690,52
201710,05/10/17,75247,85861/HANSGROHE LIMITED ,-227.84,2,720,56
201803,28/03/18,79590,93115/MITCHELLS(MILLBROOK)LTD ,1025.48,2,630,54
201706,28/06/17,72622,82268/N.FROY AND SONS LIMITED ,89.55,2,720,56
201701,28/01/17,68481,77724/JOHN CRIBB AND SONS LIMITED ,38.94,2,700,58
201608,08/08/16,64744,73370/EMBRASS ,1.84,2,700,58
201604,20/04/16,61108,69052/IDEAL BATHROOMS ,103.28,2,630,54
201803,19/03/18,79389,92866/MONTROSE FURNITURE ,292.13,2,630,54
201705,09/05/17,72118,81708/PEGLER YORKSHIRE LIMITED ,-126.2,2,720,56
201704,06/04/17,71313,80951/SIMPSONS ,0,2,700,58
201701,09/01/17,68280,77311/HIB LTD ,-38.88,2,720,56
201609,02/09/16,64947,73498/CLAYGATE DISTRIBUTION LTD ,-375.06,2,720,56
201604,20/04/16,61109,69053/IDEAL BATHROOMS ,4.88,2,700,58
201802,05/02/18,78279,91472/ROBERT LEE(LONDON)LTD ,7.67,2,700,58
201707,26/07/17,73533,83544/SIMPSONS ,-166.27,2,720,56
201703,10/03/17,70402,79910/JOULE UK ,115.52,2,700,58
201612,01/12/16,67877,76969/KUDOS SHOWER PRODUCTS LIMITED ,-137.26,2,720,56
201608,01/08/16,64645,73229/MITCHELLS(MILLBROOK)LTD ,-901.66,2,720,56
201605,20/05/16,62019,70104/METHVEN UK LIMITED ,-29.12,2,630,54
201802,14/02/18,78583,91842/BARWICK ,-148.56,2,720,56
201706,09/06/17,72423,82013/ELLIOTT BROTHERS LTD ,1.4,2,700,58
201701,24/01/17,68888,78584/SYDENHAMS ,-22.42,2,720,56
201609,30/09/16,65252,73867/ROBERT LEE(LONDON)LTD ,12660.49,2,720,56
201606,10/06/16,62828,71052/SIMPSONS ,104.5,2,720,56
201712,07/11/17,76463,90500/MONTROSE FURNITURE ,-588.89,2,720,56
201607,29/09/16,JV5358,2/230 ,3250,2,801,59
201802,07/02/18,78382,91593/ROBERT LEE(LONDON)LTD ,-359.23,2,720,56
201706,05/06/17,72727,82523/CLAYGATE DISTRIBUTION LTD ,-9.72,2,720,56
201701,16/01/17,68788,78059/MELPASS LTD ,-155.52,2,720,56
201706,13/07/17,JV5558,JUNE PAYMENTS ,0,2,360,14
201609,27/09/16,65455,74095/BRETT MARTIN LTD ,-1834.27,2,720,56
201605,12/05/16,61920,69995/HIB LTD ,108.75,2,630,54
201702,06/02/17,69597,78959/HIB LTD ,162.74,2,630,54
201710,05/10/17,75252,85866/DAVROC LIMITED ,32.66,2,700,58
201709,29/09/17,74849,85432/ROBERT LEE(LONDON)LTD ,148.23,2,630,54
201601,06/01/16,58689,66256/IDEAL BATHROOMS ,13.25,2,700,58
201610,07/10/16,66062,74898/N.FROY AND SONS LIMITED ,-8.83,2,720,56
201605,26/05/16,62325,70460/ROBERT LEE(LONDON)LTD ,-86.29,2,720,56
201712,21/12/17,76465,90502/GRANT ENGINEERING (UK) LTD ,1476.7,2,720,56
201608,31/08/16,64750,73404/ALTECNIC LTD ,6.53,2,720,56
201706,26/06/17,72830,82646/MITCHELLS(MILLBROOK)LTD ,347.3,2,630,54
201701,20/01/17,68790,78061/ZEHNDER GROUP UK LTD (RETAIL) ,130.05,2,630,54
201701,26/01/17,68487,77730/SIMPSONS ,82.91,2,630,54
201604,29/04/16,61619,69767/SANEUX ,120.01,2,630,54
201710,11/10/17,75153,85758/SIMPSONS ,93.89,2,700,58
201803,23/03/18,79294,92638/ROBERT LEE(LONDON)LTD ,-36,2,630,54
201706,01/06/17,72326,81905/JOULE UK ,-440.66,2,720,56
201701,20/01/17,68791,78062/ZEHNDER GROUP UK LTD (RETAIL) ,341.69,2,700,58
201608,04/08/16,64549,73063/ELLIOTT BROTHERS LTD ,-70.8,2,720,56
201604,29/04/16,61620,69768/SANEUX ,-172.51,2,720,56
201604,21/04/16,61216,69317/N.FROY AND SONS LIMITED ,59.08,2,700,58
201707,12/09/17,JV5564,JULY ACCRUALS ,300,2,220,5
201801,03/01/18,77679,90798/H&V CONTROLS LTD ,773.3,2,630,54
201709,20/09/17,74650,85186/KARTELL UK LTD ,22.91,2,630,54
201704,26/04/17,70913,80347/VOGEL&NOOT PRODUCTS LTD ,160.34,2,720,56
201603,31/03/16,60719,68767/WESTCO ,-521.67,2,720,56
201611,17/11/16,67075,75996/CLAYGATE DISTRIBUTION LTD ,-16.63,2,720,56
201607,29/07/16,63742,72268/FLOWFLEX COMPONENTS LTD ,496.79,2,630,54
201602,26/02/16,60005,67931/KUDOS SHOWER PRODUCTS LIMITED ,74.93,2,720,56
201601,31/01/16,58894,66482/F&P WHOLESALE ,-5706.29,2,690,52
201711,13/11/17,76973,89164/KUDOS SHOWER PRODUCTS LIMITED ,14.06,2,700,58
201709,27/09/17,74853,85437/BROUGHTON CRANGROVE ,473.65,2,700,58
201704,05/04/17,71419,81832/ROBERT LEE(LONDON)LTD ,-120.5,2,720,56
201612,02/12/16,67884,76977/N.FROY AND SONS LIMITED ,-224.48,2,720,56
201608,02/08/16,64652,73236/ABACUS DIRECT ,3.56,2,700,58
201603,22/03/16,60713,68760/DAB PUMPS LIMITED ,243.1,2,700,58
201708,17/08/17,73844,83712/N.FROY AND SONS LIMITED ,47.13,2,700,58
201703,14/03/17,70208,79575/EASTBROOK CO ,-224.4,2,720,56
201610,12/09/16,66572,76243/METHVEN UK LIMITED ,-295.2,2,720,56
201606,29/06/16,63138,71403/HIB LTD ,-214.66,2,720,56
201602,02/02/16,59704,67596/BROUGHTON CRANGROVE ,-146.66,2,720,56
201801,09/01/18,77480,90564/ROBERT LEE(LONDON)LTD ,8.4,2,700,58
201703,02/03/17,69906,78712/WH CYLINDERS ,-51.98,2,180,2
201610,10/10/16,66169,75008/MITCHELLS(MILLBROOK)LTD ,45.12,2,700,58
201605,16/05/16,62331,70466/CLAYGATE DISTRIBUTION LTD ,234.92,2,630,54
201601,25/01/16,58998,66627/ROBERT LEE(LONDON)LTD ,3.24,2,630,54
201711,22/11/17,77077,89286/ROBERT LEE(LONDON)LTD ,-35.04,2,720,56
201706,15/06/17,72533,82143/INTATEC LTD ,-7.65,2,700,58
201701,20/01/17,68796,78067/HANSGROHE LIMITED ,278.2,2,630,54
201609,19/08/16,65665,74395/METHVEN UK LIMITED ,70,2,630,54
201605,16/05/16,62332,70467/CLAYGATE DISTRIBUTION LTD ,60.35,2,700,58
201708,02/08/17,73947,83815/ROBERT LEE(LONDON)LTD ,-154.07,2,720,56
201802,21/02/18,78694,91968/WESTCO FLOW CONTROL LTD ,-1.84,2,720,56
201706,15/06/17,72534,82144/ROBERT LEE(LONDON)LTD ,12,2,720,56
201702,06/02/17,69201,78360/MITCHELLS(MILLBROOK)LTD ,3.29,2,700,58
201606,09/06/16,62636,70835/CLAYGATE DISTRIBUTION LTD ,-36.05,2,720,56
201601,15/01/16,58798,66381/N.FROY AND SONS LIMITED ,-35.06,2,630,54
201712,11/12/17,75968,89950/ROBERT LEE(LONDON)LTD ,-250.56,2,720,56
201712,08/12/17,75868,89838/ROBERT LEE(LONDON)LTD ,10.98,2,700,58
201704,24/04/17,71020,80590/KITSONS THERMAL SUPPLIES ,146.99,2,630,54
201611,08/11/16,67283,76313/PEGLER YORKSHIRE LIMITED ,-27.6,2,720,56
201607,05/07/16,64051,73185/KUDOS SHOWER PRODUCTS LIMITED ,65.78,2,700,58
201602,05/02/16,59708,67600/ZEHNDER GROUP UK LTD (RETAIL) ,269.5,2,630,54
201605,03/05/16,61829,69231/HIB LTD ,-2120.45,2,690,52
201802,07/02/18,78393,91604/TODAYS TOOLS LTD ,-510.96,2,720,56
201705,04/05/17,72031,81609/ROBERT LEE(LONDON)LTD ,21.33,2,700,58
201608,03/08/16,64658,73242/SIMPSONS ,42.5,2,630,54
201701,31/01/17,68597,77849/CLAYGATE DISTRIBUTION LTD ,-56,2,720,56
201712,21/12/17,76475,90522/CLAYGATE DISTRIBUTION LTD ,39.2,2,700,58
201709,18/09/17,74456,84968/FIREBIRD PRODUCTS LTD ,-1956.29,2,720,56
201703,09/02/17,70618,80245/CAPITOL TILE GROUP ,-8.2,2,630,54
201611,22/11/16,67184,76128/EASTBROOK CO ,-76.32,2,720,56
201608,07/10/16,JV5367,AUGUST PAYMENTS ,14968.52,2,740,57
201605,16/05/16,62134,70242/TOOLBANK(CURTIS HOLT) ,-0.73,2,700,58
201601,08/01/16,58700,66267/H&V CONTROLS LTD ,-1151.3,2,720,56
201801,24/01/18,77991,91159/DAVROC LIMITED ,3.92,2,700,58
201704,05/04/17,71225,80861/BROUGHTON CRANGROVE ,-428.66,2,720,56
201711,29/11/17,77285,89522/ROBERT LEE(LONDON)LTD ,-9.58,2,720,56
201609,07/09/16,65064,73640/IDEAL BATHROOMS ,90.62,2,630,54
201604,15/04/16,61428,69563/IDEAL BATHROOMS ,93.38,2,630,54
201603,11/03/16,60519,68337/CLAYGATE DISTRIBUTION LTD ,0,2,700,58
201601,31/01/16,58903,66491/HIB LTD ,1152.54,2,720,56
201801,25/10/17,77790,90935/SIMPSONS ,-406.14,2,630,54
201601,18/12/15,58803,66386/SYDENHAMS ,0.91,2,700,58
201707,13/07/17,73347,83345/PHOENIX  ,-148.5,2,720,56
201703,02/03/17,69913,78719/CLEARCUT SERVICES ,1536,2,720,56
201609,31/08/16,65671,74427/H&V CONTROLS LTD ,187.48,2,630,54
201605,03/05/16,61732,69134/JOHN CRIBB AND SONS LIMITED ,-143.5,2,690,52
201601,21/01/16,59108,66750/MX GROUP ,65,2,630,54
201710,05/10/17,75367,85854/WESTCO FLOW CONTROL LTD ,189.75,2,630,54
201707,18/07/17,73247,83237/SAGITTARIUS LTD ,214.5,2,630,54
201703,16/03/17,70116,79391/OSO HOTWATER (UK) LIMITED ,309.4,2,630,54
201610,12/10/16,66076,74912/GRANT ENGINEERING (UK) LTD ,-132.18,2,720,56
201606,22/04/16,63046,71301/F&P WHOLESALE ,779,2,630,54
201602,17/02/16,59511,67358/METHVEN UK LIMITED ,23.18,2,700,58
201712,13/12/17,76075,90083/SIMPSONS ,292.67,2,630,54
201709,04/09/17,74964,85552/ROBERT LEE(LONDON)LTD ,213.88,2,630,54
201803,29/03/18,79610,93136/MITCHELLS(MILLBROOK)LTD ,-180,2,211,4
201704,25/04/17,71127,80733/MONTROSE FURNITURE ,-491.21,2,720,56
201611,02/11/16,67390,76424/ROBERT LEE(LONDON)LTD ,-39.31,2,720,56
201607,27/07/16,63653,72170/BROUGHTON CRANGROVE ,-789.07,2,720,56
201602,25/02/16,59613,67464/TIMOLEON LTD T/A OMNIE ,1085.59,2,630,54
201712,13/12/17,76076,90084/SIMPSONS ,249.67,2,630,54
201803,15/03/18,79510,92999/F&P WHOLESALE ,154.3,2,700,58
201702,19/12/16,69815,79497/ROBERT LEE(LONDON)LTD ,-9.5,2,700,58
201709,29/09/17,74360,84865/PETER SAVAGE LIMITED ,-137.52,2,690,52
201606,17/06/16,63250,71517/IMPEY UK LTD ,125.2,2,700,58
201602,10/02/16,59816,67712/ALTECNIC LTD ,-902.03,2,720,56
201709,05/09/17,74764,85342/MAINCOR LTD ,-785.75,2,720,56
201803,12/03/18,79107,92411/HRP TRADE.CO.UK ,413,2,630,54
201704,25/04/17,71129,80735/MONTROSE FURNITURE ,7,2,700,58
201607,16/06/16,63352,71632/SIMPSONS ,-5.64,2,700,58
201612,14/12/16,67594,76506/F&P WHOLESALE ,-21,2,630,54
201603,04/03/16,60423,68240/ROBERT LEE(LONDON)LTD ,190.71,2,630,54
201708,23/11/17,JV5575,Aug payments ,4587,2,503,50
201712,12/12/17,75977,89960/ROBERT LEE(LONDON)LTD ,3.84,2,700,58
201707,17/07/17,73150,83000/ROBERT LEE(LONDON)LTD ,-177.5,2,720,56
201609,12/01/17,JV5375,SEPT PAYMENTS ,48.08,2,280,11
201703,06/03/17,70019,79293/ROBERT LEE(LONDON)LTD ,-200.21,2,720,56
201610,17/10/16,66080,74916/THE LAWTON TUBE CO LTD ,-5,2,700,58
201605,18/05/16,62040,70127/PRIMAFLOW LTD ,1.21,2,700,58
201601,27/01/16,59010,66639/ROBERT LEE(LONDON)LTD ,124.11,2,630,54
201604,29/04/16,61637,69785/SIMPSONS ,44.6,2,700,58
201710,05/10/17,75675,88690/UPTREND DISTRIBUTION ,102.09,2,630,54
201706,28/06/17,72646,82435/BROUGHTON CRANGROVE ,305.92,2,630,54
201708,31/08/17,74060,84008/ATAY GLOBAL LTD ,327,2,720,56
201609,20/09/16,65374,74000/DAVROC LIMITED ,-221.76,2,720,56
201709,29/09/17,74363,84868/ROB POND PLUMB HEAT SOLUTIONS  ,135.24,2,720,56
201802,19/02/18,78908,92192/SYDENHAMS ,5.18,2,700,58
201704,06/04/17,71334,80973/HIB LTD ,149.26,2,630,54
201611,23/11/16,67193,76139/METHVEN UK LIMITED ,316.1,2,630,54
201608,12/08/16,64365,72851/IDEAL BATHROOMS ,26.4,2,700,58
201602,13/04/16,60123,Consolidated PL Journal ,760.7,2,260,10
201709,11/09/17,74566,85083/INTERNATIONAL DECORATIVE SURFA ,88.4,2,630,54
201802,06/02/18,79010,91660/H&V CONTROLS LTD ,71.95,2,630,54
201704,24/04/17,70931,80499/SYMPHONY GROUP PLC ,114.51,2,700,58
201611,09/11/16,67396,76431/N.FROY AND SONS LIMITED ,-8.82,2,720,56
201712,29/12/17,76284,90308/DHL BATHROOM SUPPLIES LTD ,-2566.41,2,690,52
201603,22/03/16,60730,68778/GRANT WESTFIELD LIMITED ,267,2,630,54
201712,12/12/17,75981,89964/ROBERT LEE(LONDON)LTD ,19.27,2,630,54
201707,24/07/17,73457,83463/ROBERT LEE(LONDON)LTD ,0.23,2,700,58
201703,08/03/17,70023,79297/ROBERT LEE(LONDON)LTD ,246.6,2,630,54
201610,17/10/16,66185,75024/GRANT ENGINEERING (UK) LTD ,-236.22,2,720,56
201605,11/05/16,61943,70021/MONARCH WATER LTD ,323.28,2,700,58
201710,20/10/17,75376,88188/SIMPSONS ,146.33,2,630,54
201707,27/07/17,73256,83249/F&P WHOLESALE ,63.36,2,630,54
201702,13/02/17,69519,78871/DAVROC LIMITED ,-324.24,2,720,56
201610,12/10/16,66388,75308/ROBERT LEE(LONDON)LTD ,39.31,2,720,56
201606,20/05/16,62853,71079/BSS GROUP PLC ,-44.42,2,720,56
201601,26/01/16,59015,66644/ROBERT LEE(LONDON)LTD ,865.33,2,630,54
201604,05/04/16,60934,68427/MWD LTD ,-239.6,2,690,52
201709,28/11/17,JV5581,SEPT DEPRECIATION ,250,2,240,7
201708,02/08/17,74166,84138/ROBERT LEE(LONDON)LTD ,178.06,2,720,56
201703,02/03/17,69924,78730/EVERBUILD BUILDING PRODUCTS LT ,676.64,2,720,56
201611,16/11/16,66894,75649/TOOLBANK(CURTIS HOLT) ,31.84,2,700,58
201607,26/07/16,63561,71879/BOSWELL BROS (SALISBURY) ,312,2,720,56
201603,03/03/16,60127,67179/CORAM SHOWERS LIMITED ,-358.26,2,690,52
201711,16/11/17,77196,89422/PUMP HOUSE ,-115.68,2,720,56
201709,20/09/17,74469,84984/ALTECNIC LTD ,179.79,2,700,58
201803,15/03/18,79519,93008/INTATEC LTD ,88.62,2,700,58
201703,01/03/17,70127,79402/ROBERT LEE(LONDON)LTD ,19.2,2,630,54
201611,23/11/16,66794,75534/ROBERT LEE(LONDON)LTD ,2.15,2,700,58
201708,02/08/17,73763,83146/CISTERMISER LTD ,1340.64,2,720,56
201603,13/03/16,60229,67900/BROUGHTON CRANGROVE ,-15.73,2,700,58
201708,04/08/17,74167,84139/ZEHNDER GROUP UK LTD (RETAIL) ,219.97,2,630,54
201803,20/09/17,79621,93159/JOULE UK ,10.27,2,630,54
201701,23/01/17,68916,78902/MITCHELLS(MILLBROOK)LTD ,77,2,630,54
201610,05/10/16,65987,74792/TODAYS TOOLS LTD ,-413.7,2,720,56
201703,24/03/17,70229,79608/HIB LTD ,-5.52,2,700,58
201601,04/12/15,58917,66523/HOMESTYLE BATHROOMS ,-66,2,720,56
201610,30/01/17,JV5384,OCT PAYMENTS ,925,2,285,10
201709,18/09/17,74673,85237/DHL BATHROOM SUPPLIES LTD ,-13.69,2,700,58
201711,10/11/17,76996,89191/BROUGHTON CRANGROVE ,-2011.86,2,720,56
201706,16/06/17,72755,82552/KUDOS SHOWER PRODUCTS LIMITED ,-368.56,2,720,56
201702,01/02/17,69018,77665/DAVANT PRODUCTS LTD ,-1312.2,2,690,52
201609,21/09/16,65483,74123/DAVROC LIMITED ,119.08,2,700,58
201604,26/04/16,61645,69793/DAVROC LIMITED ,148.05,2,630,54
201712,18/12/17,76088,90096/HANSGROHE LIMITED ,-136.99,2,720,56
201707,12/07/17,73059,82909/BROUGHTON CRANGROVE ,-1607.88,2,720,56
201702,08/02/17,69221,78381/KUDOS SHOWER PRODUCTS LIMITED ,-814.49,2,720,56
201608,12/08/16,64373,72861/N.FROY AND SONS LIMITED ,-848.8,2,720,56
201604,08/03/16,61040,68976/F&P WHOLESALE ,20,2,700,58
201802,08/02/18,78412,91627/ROBERT LEE(LONDON)LTD ,-40.34,2,720,56
201705,08/05/17,72252,81883/MITCHELLS(MILLBROOK)LTD ,44.31,2,630,54
201711,23/11/17,77201,89427/SIMPSONS ,57.42,2,700,58
201609,12/09/16,65384,74010/H&V CONTROLS LTD ,13,2,700,58
201712,29/12/17,76292,90316/FLOWFLEX COMPONENTS LTD ,-3208.94,2,690,52
201711,13/11/17,76999,89194/BROUGHTON CRANGROVE ,-79.37,2,720,56
201708,02/08/17,73970,83841/ROBERT LEE(LONDON)LTD ,-3.26,2,700,58
201702,16/02/17,69728,79121/DAVROC LIMITED ,10.36,2,700,58
201610,14/10/16,66294,75194/PRIMAFLOW LTD ,7.24,2,700,58
201605,03/05/16,62456,70632/KUDOS SHOWER PRODUCTS LIMITED ,114.38,2,630,54
201602,04/02/16,59325,66675/THE LAWTON TUBE CO LTD ,796.8,2,630,54
201710,28/11/17,JV5588,OCTOBER PAYROLL ,17565.3,2,350,12
201703,08/03/17,70537,80066/MITCHELLS(MILLBROOK)LTD ,292.78,2,630,54
201611,01/11/16,67204,76153/TALON LTD ,54.6,2,700,58
201607,05/07/16,63871,72404/ROBERT LEE(LONDON)LTD ,-166.36,2,720,56
201602,11/02/16,60033,67960/PRIMAFLOW LTD ,53.21,2,630,54
201704,03/04/17,70739,79650/ADVANTAY LTD ,230.4,2,720,56
201611,30/01/17,JV5392,NOV PAYMENTS ,47.91,2,280,11
201709,07/09/17,74981,85570/SMITH BROTHERS STORES LTD ,84.14,2,630,54
201803,16/03/18,79526,93017/ALTECNIC LTD ,776.38,2,630,54
201704,10/04/17,71245,80882/SIMPSONS ,-128.99,2,720,56
201612,13/12/16,67710,76787/H&V CONTROLS LTD ,165,2,630,54
201608,10/08/16,64377,72865/N.FROY AND SONS LIMITED ,-176.5,2,720,56
201604,25/04/16,61044,68980/F&P WHOLESALE ,0,2,700,58
201802,28/02/18,79022,92328/SIMPSONS ,66.67,2,630,54
201704,03/04/17,70741,79652/KUDOS SHOWER PRODUCTS LIMITED ,2630.09,2,720,56
201611,29/11/16,67105,76026/ROBERT LEE(LONDON)LTD ,10.25,2,700,58
201607,11/07/16,64075,73387/RAK CERAMICS UK LTD ,-40.33,2,630,54
201603,15/03/16,60338,68153/ROBERT LEE(LONDON)LTD ,5.76,2,700,58
201611,30/01/17,JV5390,NOV ACCRUALS ,-500,2,801,59
201708,03/08/17,74175,84149/PETER SAVAGE LIMITED ,22.92,2,700,58
201802,26/02/18,78922,92206/TAVISTOCK ,131.45,2,211,4
201703,22/03/17,70338,79845/ASSOCIATED LEAD ,188.52,2,700,58
201607,06/07/16,63874,72407/ROBERT LEE(LONDON)LTD ,25.65,2,700,58
201711,14/11/17,76903,89080/HANSGROHE LIMITED ,80.83,2,630,54
201707,06/09/17,73671,84210/HIB LTD ,274.8,2,720,56
201712,01/12/17,75792,89575/BARD & BLACKWOOD ,-237.6,2,690,52
201802,09/02/18,78418,91637/CAPITOL TILE GROUP ,197.2,2,630,54
201704,18/04/17,71147,80762/DAVROC LIMITED ,-175.61,2,720,56
201612,12/12/16,67612,76536/IDEAL STANDARD(UK)LTD ,5.03,2,720,56
201607,28/07/16,64077,73392/HEATING SPARES SPECIALISTS ,70.66,2,720,56
201603,23/03/16,60744,68792/FLOWFLEX COMPONENTS LTD ,-422.56,2,720,56
201710,28/11/17,JV5593,OCTOBER PAYMENTS ,113.89,2,600,53
201707,04/07/17,73572,83586/INTATEC LTD ,-229.58,2,720,56
201702,28/02/17,69835,80104/TOOLBANK(CURTIS HOLT) ,27.18,2,700,58
201609,01/09/16,65088,73665/ROBERT LEE(LONDON)LTD ,44.06,2,630,54
201604,13/04/16,61553,69699/METHVEN UK LIMITED ,53.5,2,630,54
201701,04/01/17,68219,76686/HEATMISER UK LTD ,316.89,2,720,56
201801,17/01/18,77814,90957/MONTROSE FURNITURE ,-18.08,2,630,54
201707,28/07/17,73169,83019/MJ ABBOTT LIMITED ,9.05,2,700,58
201702,13/02/17,69230,78390/MONTROSE FURNITURE ,77.92,2,700,58
201609,29/09/16,65594,74237/ROBERT LEE(LONDON)LTD ,30.15,2,630,54
201707,04/07/17,73573,83587/BARWICK ,8.47,2,700,58
201601,19/01/16,58928,66536/WH CYLINDERS ,1683,2,630,54
201711,02/11/17,76704,88859/NAVIGATOR MSL LTD ,-425.52,2,720,56
201705,26/05/17,72059,81647/EASTBROOK CO ,-367.8,2,720,56
201701,27/01/17,68625,77877/ROBERT LEE(LONDON)LTD ,66.84,2,630,54
201609,27/09/16,65494,74134/SIMPSONS ,73,2,630,54
201604,11/04/16,61454,69589/DAVROC LIMITED ,5.34,2,700,58
201711,18/10/17,77109,89332/ROBERT LEE(LONDON)LTD ,-177.88,2,720,56
201612,30/01/17,JV5401,DEC PAYMENTS ,23,2,284,11
201712,31/12/17,76200,90224/HANSGROHE LIMITED ,-1290.19,2,690,52
201710,10/10/17,75291,85907/GRANT ENGINEERING (UK) LTD ,-2208.31,2,720,56
201707,10/07/17,73373,83377/INTERNATIONAL DECORATIVE SURFA ,20.66,2,700,58
201702,19/12/16,69838,80121/ROBERT LEE(LONDON)LTD ,-56.98,2,720,56
201610,24/10/16,66202,75070/MITCHELLS(MILLBROOK)LTD ,-417.04,2,720,56
201607,18/07/16,63576,71901/MAINCOR LTD ,532.15,2,630,54
201601,13/01/16,59233,66897/ROBERT LEE(LONDON)LTD ,14.4,2,700,58
201710,27/10/17,75595,88608/INTERNATIONAL DECORATIVE SURFA ,-161.85,2,720,56
201707,24/07/17,73576,83590/SIMPSONS ,29.08,2,700,58
201702,03/01/17,69839,80122/ROBERT LEE(LONDON)LTD ,290.98,2,630,54
201611,22/11/16,67011,75921/BATHEX ,-138.24,2,720,56
201606,17/06/16,63274,71543/IDEAL BATHROOMS ,33.9,2,700,58
201602,29/01/16,59638,67504/F&P WHOLESALE ,-2.45,2,700,58
201712,12/12/17,76101,90110/N.FROY AND SONS LIMITED ,35.33,2,700,58
201709,27/09/17,74991,85579/MARFLOW ENGINEERING LTD ,-486.36,2,720,56
201704,25/04/17,71355,81004/H&V CONTROLS LTD ,-3.51,2,700,58
201708,02/08/17,73779,83162/FM PRODUCTS ,129.1,2,720,56
201608,26/08/16,64689,73273/BROUGHTON CRANGROVE ,1574.08,2,630,54
201603,07/03/16,60447,68264/MARFLOW ENGINEERING LTD ,134.57,2,700,58
201711,07/11/17,76708,88870/BRETT MARTIN LTD ,20.84,2,630,54
201707,11/07/17,73073,82923/ROBERT LEE(LONDON)LTD ,-271.2,2,720,56
201702,27/02/17,69437,78777/WESTCO FLOW CONTROL LTD ,-427.67,2,720,56
201610,06/10/16,66003,74820/JIS EUROPE LTD ,-201.56,2,720,56
201605,03/05/16,62064,70153/H&V CONTROLS LTD ,51.84,2,630,54
201712,15/12/17,76406,90436/BROUGHTON CRANGROVE ,60.36,2,700,58
201707,26/07/17,73175,83025/DAVROC LIMITED ,892.2,2,630,54
201703,21/03/17,70145,79512/HANSGROHE LIMITED ,-69.49,2,720,56
201611,15/11/16,66711,75315/HIB LTD ,268.65,2,630,54
201608,01/08/16,64186,72066/IDEAL BATHROOMS ,3539.07,2,720,56
201602,17/02/16,59641,67512/F&P WHOLESALE ,-149.64,2,260,10
201710,04/10/17,75195,85805/KUDOS SHOWER PRODUCTS LIMITED ,144,2,630,54
201802,26/02/18,79033,92339/MITCHELLS(MILLBROOK)LTD ,-305.28,2,720,56
201607,20/07/16,63581,71913/SIMPSONS ,171.66,2,720,56
201703,29/03/17,70651,80287/ROBERT LEE(LONDON)LTD ,33.54,2,630,54
201611,10/11/16,67318,76350/FISCHER FIXINGS UK LTD ,23.4,2,700,58
201603,08/03/16,60349,68164/BROUGHTON CRANGROVE ,-41.03,2,720,56
201707,31/07/17,73479,83487/ROBERT LEE(LONDON)LTD ,19.1,2,630,54
201802,12/02/18,78428,91653/PHOENIX  ,176.25,2,630,54
201702,27/02/17,69642,79025/ROBERT LEE(LONDON)LTD ,-891.77,2,720,56
201609,06/09/16,64996,73549/ROBERT LEE(LONDON)LTD ,-42.24,2,720,56
201604,29/04/16,61663,69811/ELLIOTT BROTHERS LTD ,14.8,2,700,58
201605,31/05/16,62168,70286/MONTROSE FURNITURE ,-2275.76,2,690,52
201712,01/12/17,75803,89586/BSS GROUP PLC ,153.73,2,720,56
201707,03/07/17,72975,82392/H CLARK & SON(SALT SUPPLIERS)L ,588,2,720,56
201801,08/05/18,JV5704,JAN DEPRECIATION ,1000,2,370,14
201612,23/12/16,67626,76565/REVIVE ,113.2,2,282,11
201707,12/07/17,73077,82927/ROBERT LEE(LONDON)LTD ,-35.16,2,720,56
201703,02/03/17,69946,78752/HYDRALECTRIC APPLIANCE CONTROL ,-184.04,2,690,52
201610,13/10/16,66007,74826/PHOENIX  ,-252,2,720,56
201606,07/06/16,62573,70771/ROBERT LEE(LONDON)LTD ,3.3,2,700,58
201602,01/02/16,59341,67010/DAVROC LIMITED ,-105,2,630,54
201601,11/04/16,JV5302,JAN PAYROLL ,-14126.06,2,740,57
201707,07/09/17,73683,84247/SANEUX ,-125,2,690,52
201711,15/11/17,77016,89211/MITCHELLS(MILLBROOK)LTD ,62.1,2,700,58
