PERIOD,DATE,JOURNAL,REFERENCE,VALUE,BRANCH,GLCODE,GLREPORT
201708,14/08/17,73843,83710/MITCHELLS(MILLBROOK)LTD ,259.66,2,630,54
201703,31/03/17,70712,80383/BRETT MARTIN LTD ,-79.08,2,720,56
201611,30/11/16,67177,76103/DAVROC LIMITED ,3.43,2,700,58
201607,13/07/16,63945,72481/CLAYGATE DISTRIBUTION LTD ,-366,2,720,56
201712,01/12/17,75762,89545/MAURICE LAY DISTRIBUTORS LTD ,-150,2,690,52
201606,30/06/16,62935,71163/FARMILOE ,110.53,2,720,56
201801,08/01/18,77883,91037/MITCHELLS(MILLBROOK)LTD ,-285.98,2,720,56
201707,25/07/17,73137,82987/WESTCO FLOW CONTROL LTD ,74.86,2,630,54
201702,20/02/17,69400,78604/H&V CONTROLS LTD ,-6.6,2,700,58
201610,11/10/16,66067,74903/BRETT MARTIN LTD ,-130.84,2,720,56
201605,16/05/16,62330,70465/CLAYGATE DISTRIBUTION LTD ,3.86,2,700,58
201601,20/01/16,59098,66740/ROBERT LEE(LONDON)LTD ,17.23,2,700,58
201802,06/02/18,78288,91494/MAINCOR LTD ,191.97,2,630,54
201707,12/07/17,73037,82797/ELLIOTT BROTHERS LTD ,-20.05,2,630,54
201702,03/02/17,69199,78358/MARFLOW ENGINEERING LTD ,8.04,2,700,58
201609,30/09/16,65563,74206/BRETT MARTIN LTD ,-12.72,2,720,56
201604,13/04/16,61523,69669/CLAYGATE DISTRIBUTION LTD ,-242.22,2,720,56
201801,08/01/18,77885,91039/MITCHELLS(MILLBROOK)LTD ,-328.79,2,720,56
201705,24/05/17,71927,81501/ALTECNIC LTD ,2284.9,2,630,54
201701,03/01/17,68291,77323/WESTCO FLOW CONTROL LTD ,147.41,2,630,54
201609,13/09/16,64958,73509/CLAYGATE DISTRIBUTION LTD ,12.78,2,630,54
201604,26/04/16,61322,69454/CLAYGATE DISTRIBUTION LTD ,2.92,2,700,58
201709,29/09/17,74856,85440/BROUGHTON CRANGROVE ,-60.01,2,720,56
201803,21/03/18,79502,92990/KUDOS SHOWER PRODUCTS LIMITED ,24.37,2,700,58
201705,17/05/17,71726,81267/SYMPHONY GROUP PLC ,147.62,2,720,56
201701,20/01/17,68494,77737/BROUGHTON CRANGROVE ,907.67,2,630,54
201609,31/10/16,65666,74396/N.FROY AND SONS LIMITED ,6278.73,2,720,56
201604,20/04/16,61727,69908/IDEAL BATHROOMS ,1.68,2,700,58
201708,03/08/17,74252,84238/SIMPSONS ,277.4,2,700,58
201711,30/11/17,77281,89518/ROBERT LEE(LONDON)LTD ,-22.8,2,720,56
201703,14/03/17,70414,79922/ROBERT LEE(LONDON)LTD ,117.09,2,630,54
201610,14/10/16,66475,75439/ROBERT LEE(LONDON)LTD ,-14.61,2,700,58
201607,13/06/16,63344,71618/SOUTHERN TANK SERVICES LTD ,147.61,2,700,58
201601,19/01/16,59102,66744/SMART SHOWERS  ,774.87,2,630,54
201803,07/03/18,79201,92513/BRISTAN LTD ,-23.14,2,720,56
201704,18/04/17,71122,80728/HANSGROHE LIMITED ,730.95,2,630,54
201611,11/11/16,67385,76417/HANSGROHE LIMITED ,-116.75,2,720,56
201607,28/07/16,63648,72165/BROUGHTON CRANGROVE ,986.1,2,630,54
201602,26/02/16,60012,67938/A.P TECHNIK LTD ,-131.31,2,720,56
201801,19/01/18,77788,90931/ROBERT LEE(LONDON)LTD ,24.22,2,700,58
201707,27/07/17,73648,83946/DAVROC LIMITED ,117.83,2,720,56
201703,10/03/17,70113,79388/H&V CONTROLS LTD ,-280.62,2,720,56
201610,17/10/16,66376,75279/SMART SHOWERS  ,111.74,2,700,58
201609,13/09/16,64962,73513/ELLIOTT BROTHERS LTD ,33.96,2,700,58
201605,19/05/16,61932,70010/ROBERT LEE(LONDON)LTD ,-2.5,2,700,58
201802,16/02/18,78900,92184/SIMPSONS ,0.88,2,630,54
201702,01/02/17,69002,77649/B.E.S LTD ,-14.36,2,690,52
201703,28/03/17,70619,80246/ROBERT LEE(LONDON)LTD ,-7.99,2,700,58
201612,22/12/16,68094,77472/SYMPHONY GROUP PLC ,-33.93,2,700,58
201608,15/08/16,64357,72843/INTATEC LTD ,369.12,2,630,54
201603,16/03/16,60822,68873/CLAYGATE DISTRIBUTION LTD ,114.97,2,630,54
201708,14/09/17,JV5570,AUG PREPAYMENTS ,5291,2,610,55
201802,08/02/18,78396,91607/N.FROY AND SONS LIMITED ,65.09,2,630,54
201706,02/06/17,72337,81916/INTERNATIONAL DECORATIVE SURFA ,14.88,2,630,54
201702,21/02/17,69307,78496/BRETT MARTIN LTD ,0.74,2,700,58
201609,14/09/16,64964,73515/IMPEY UK LTD ,-496.71,2,720,56
201604,12/04/16,61025,68720/SIMPSONS ,-82.03,2,630,54
201711,17/11/17,76983,89176/DAVROC LIMITED ,29.12,2,700,58
201712,18/12/17,76377,90405/MONTROSE FURNITURE ,-660.71,2,720,56
201706,21/06/17,72742,82539/GRANT ENGINEERING (UK) LTD ,411.1,2,700,58
201701,19/01/17,68702,77970/TOOLBANK(CURTIS HOLT) ,156.49,2,630,54
201609,30/09/16,65571,74214/DAVROC LIMITED ,31.58,2,700,58
201605,28/05/16,62440,70616/B.E.S LTD ,80.25,2,630,54
201601,29/01/16,59006,66635/ROBERT LEE(LONDON)LTD ,5.37,2,700,58
201710,23/10/17,75671,88687/MITCHELLS(MILLBROOK)LTD ,342.12,2,630,54
201708,21/08/17,73854,83722/SMITH BROTHERS STORES LTD ,27.61,2,630,54
201702,20/02/17,69713,79106/DAVROC LIMITED ,-889.86,2,720,56
201610,02/09/16,66582,76260/SANINDUSA UK LTD ,-909.77,2,720,56
201606,17/06/16,62845,71069/DAVROC LIMITED ,42,2,720,56
201601,12/01/16,58805,66388/DESIGN TYPES LTD ,190.6,2,700,58
201608,01/08/16,64158,72038/DAVROC LIMITED ,8401.21,2,720,56
201710,10/10/17,75268,85881/BRISTAN LTD ,-205.04,2,720,56
201707,20/07/17,73148,82998/ROBERT LEE(LONDON)LTD ,215.55,2,700,58
201702,08/02/17,69209,78368/H&V CONTROLS LTD ,112.38,2,630,54
201609,21/09/16,65674,74435/N.FROY AND SONS LIMITED ,-49.08,2,630,54
201605,31/05/16,62442,70618/IMPEY UK LTD ,411.13,2,630,54
201601,11/01/16,58705,66272/H&V CONTROLS LTD ,-4.84,2,720,56
201708,23/11/17,JV5575,Aug payments ,1.47,2,284,11
201710,06/10/17,75269,85882/WESTCO FLOW CONTROL LTD ,25.44,2,700,58
201708,15/08/17,73856,83724/HANSGROHE LIMITED ,121.47,2,630,54
201702,22/02/17,69816,79498/ROBERT LEE(LONDON)LTD ,-5.25,2,700,58
201610,17/10/16,66180,75019/IDEAL STANDARD(UK)LTD ,-45.61,2,720,56
201605,31/05/16,62544,70728/BRETT MARTIN LTD ,3.33,2,700,58
201602,15/02/16,59716,67608/VOGEL&NOOT PRODUCTS LTD ,282.71,2,630,54
201801,03/01/18,77593,90694/BROUGHTON CRANGROVE ,-165,2,700,58
201706,06/06/17,72443,82033/DAVROC LIMITED ,17.22,2,700,58
201701,29/01/17,68605,77857/UNDERFLOOR HEATING NOW LTD ,-99.6,2,720,56
201609,23/09/16,65575,74218/ROBERT LEE(LONDON)LTD ,-407.51,2,720,56
201604,27/04/16,61232,69333/IDEAL BATHROOMS ,22.91,2,700,58
201607,24/06/16,63353,71633/SIMPSONS ,-28.21,2,630,54
201801,03/01/18,77594,90695/MAINCOR LTD ,-14.03,2,630,54
201705,02/05/17,72040,81618/ULTRA FINISHING LIMITED ,-161.4,2,720,56
201701,27/01/17,68606,77858/DAVROC LIMITED ,0,2,630,54
201608,02/08/16,64667,73251/KUDOS SHOWER PRODUCTS LIMITED ,-253.36,2,720,56
201603,21/03/16,60728,68776/MITCHELLS(MILLBROOK)LTD ,384,2,630,54
201604,12/04/16,61435,69570/MONTROSE FURNITURE ,0,2,700,58
201801,22/01/18,77999,91167/SIMPSONS ,0,2,700,58
201709,21/09/17,74868,85452/H&V CONTROLS LTD ,31.54,2,700,58
201803,06/03/18,79615,93153/DHL BATHROOM SUPPLIES LTD ,14.14,2,700,58
201703,24/03/17,70627,80263/SYMPHONY GROUP PLC ,24.25,2,700,58
201610,28/10/16,66486,75484/HIB LTD ,32.55,2,700,58
201606,23/06/16,63052,71307/DAVROC LIMITED ,5.85,2,700,58
201602,09/12/15,59416,67149/BRETT MARTIN LTD ,-28.12,2,630,54
201712,01/12/17,75879,89849/SMART SHOWERS  ,398.2,2,630,54
201708,17/08/17,73860,83728/HANSGROHE LIMITED ,264.5,2,630,54
201703,16/03/17,70426,79934/ROBERT LEE(LONDON)LTD ,51.06,2,630,54
201611,23/11/16,66790,75530/ROBERT LEE(LONDON)LTD ,6.88,2,700,58
201606,24/06/16,63154,71419/ROBERT LEE(LONDON)LTD ,-18,2,720,56
201602,08/02/16,59922,67823/SIMPSONS ,332.67,2,630,54
201712,31/12/17,76184,90208/SPIRE FM ,5100,2,720,56
201604,26/04/16,61135,69083/HIB LTD ,155,2,720,56
201801,19/01/18,77900,91054/CLASSIC MARBLE SHOWERS LTD ,198.48,2,630,54
201706,14/06/17,72851,82667/ROBERT LEE(LONDON)LTD ,14.62,2,700,58
201702,22/02/17,69316,78506/KUDOS SHOWER PRODUCTS LIMITED ,356,2,630,54
201609,28/09/16,65579,74222/ROBERT LEE(LONDON)LTD ,26.75,2,700,58
201601,28/01/16,58913,66501/IDEAL BATHROOMS ,-558.06,2,690,52
201711,09/11/17,76891,89068/BIRCHWOOD PRICE TOOLS ,59.95,2,630,54
201706,29/06/17,72650,82439/FLOWFLEX COMPONENTS LTD ,14.65,2,630,54
201701,11/01/17,68711,77979/NATIONAL SHOWER SPARES ,54.14,2,630,54
201610,24/10/16,65782,74462/VOGEL&NOOT PRODUCTS LTD ,-25.06,2,700,58
201605,31/05/16,62247,70365/GRANT ENGINEERING (UK) LTD ,11415.3,2,720,56
201710,30/10/17,75680,88717/ROBERT LEE(LONDON)LTD ,9.76,2,700,58
201707,25/07/17,73459,83465/ROBERT LEE(LONDON)LTD ,-160.44,2,720,56
201702,01/02/17,69419,78644/DAVROC LIMITED ,-110.96,2,700,58
201610,27/10/16,66389,75311/ROBERT LEE(LONDON)LTD ,-8.75,2,700,58
201606,09/06/16,62652,70851/DAVROC LIMITED ,45.85,2,700,58
201602,27/01/16,59420,67153/CAVALIER MARKETING ,624,2,630,54
201803,21/03/18,79321,92794/MX GROUP ,-9.96,2,720,56
201707,07/07/17,73561,83572/ROBERT LEE(LONDON)LTD ,9.02,2,700,58
201702,22/02/17,69622,79005/ROBERT LEE(LONDON)LTD ,-59.86,2,720,56
201610,05/10/16,66188,75027/CLAYGATE DISTRIBUTION LTD ,82.5,2,630,54
201607,15/07/16,63461,71768/IDEAL BATHROOMS ,54.49,2,630,54
201602,19/02/16,59522,67369/CLASSIC MARBLE SHOWERS LTD ,195.7,2,630,54
201709,05/09/17,74975,85564/ROBERT LEE(LONDON)LTD ,56.98,2,630,54
201706,02/06/17,72350,81931/ROBERT LEE(LONDON)LTD ,51.08,2,630,54
201701,17/01/17,68411,77460/N.FROY AND SONS LIMITED ,-45.41,2,630,54
201609,30/09/16,65280,73895/WH CYLINDERS ,29.67,2,720,56
201704,03/04/17,70835,79746/H&V CONTROLS LTD ,-5055.18,2,690,52
201711,07/11/17,76695,88850/HIB LTD ,34.47,2,700,58
201711,10/11/17,76895,89072/DAVROC LIMITED ,-58.38,2,720,56
201709,28/11/17,JV5584,SEPT PAYMENTS ,12.37,2,211,4
201801,01/01/18,77804,90946/MONTROSE FURNITURE ,72.46,2,720,56
201705,11/05/17,72149,81739/GRANT WESTFIELD LIMITED ,-549.58,2,720,56
201701,17/01/17,68412,77461/H&V CONTROLS LTD ,171.31,2,720,56
201608,28/07/16,64776,73755/ELLIOTT BROTHERS LTD ,152.4,2,700,58
201604,22/03/16,61039,68975/MITCHELLS(MILLBROOK)LTD ,33.23,2,700,58
201801,11/01/18,77603,90704/MX GROUP ,34.02,2,720,56
201706,14/06/17,72453,82043/MARFLOW ENGINEERING LTD ,-529.02,2,720,56
201610,30/01/17,JV5384,OCT PAYMENTS ,15292.51,2,740,57
201612,13/12/16,68009,77114/BLANCO LIMITED ,-188.64,2,720,56
201606,14/06/16,63161,71426/HEATING SPARES SPECIALISTS ,-20.36,2,720,56
201603,07/03/16,60434,68251/BROUGHTON CRANGROVE ,707.56,2,630,54
201709,18/09/17,74574,85102/DAVROC LIMITED ,-68.58,2,720,56
201705,12/05/17,71747,81309/DHL BATHROOM SUPPLIES LTD ,-311.51,2,720,56
201612,15/12/16,67606,76528/DAVROC LIMITED ,54.18,2,720,56
201608,11/08/16,64475,72972/MITCHELLS(MILLBROOK)LTD ,95.15,2,700,58
201605,10/05/16,61849,69871/SANEUX ,121.94,2,720,56
201608,23/08/16,64275,72760/SIMPSONS ,0,2,700,58
201712,26/10/17,76494,90556/PHOENIX  ,-144,2,720,56
201801,10/01/18,77807,90949/ROBERT LEE(LONDON)LTD ,414.42,2,720,56
201707,04/07/17,73263,83256/PEGLER YORKSHIRE LIMITED ,8.77,2,630,54
201702,13/02/17,69223,78383/MONTROSE FURNITURE ,-698.5,2,720,56
201609,30/09/16,65587,74230/ROBERT LEE(LONDON)LTD ,-11.6,2,720,56
201604,28/04/16,61648,69796/DAVROC LIMITED ,-331.38,2,720,56
201711,10/11/17,77000,89195/CONNECTIONS ,67.91,2,630,54
201801,09/01/18,77505,90597/HIB LTD ,-157.49,2,720,56
201708,03/08/17,74173,84146/AQATA LIMITED ,-905,2,720,56
201703,10/03/17,70032,79306/TODAYS TOOLS LTD ,-60.48,2,720,56
201610,14/10/16,66295,75195/PRIMAFLOW LTD ,10.86,2,700,58
201606,02/06/16,63164,71429/ROBERT LEE(LONDON)LTD ,-132.02,2,720,56
201602,04/02/16,59326,66993/BRISTAN LTD ,554.77,2,720,56
201710,20/10/17,75587,88595/BROUGHTON CRANGROVE ,50.01,2,630,54
201602,13/04/16,JV5310,FEB PAYROLL ,575,2,250,8
201709,27/09/17,74679,85247/IDEAL BATHROOMS ,68.11,2,630,54
201703,06/03/17,70538,80067/MITCHELLS(MILLBROOK)LTD ,50.11,2,700,58
201611,01/11/16,67205,76154/TODAYS TOOLS LTD ,352.44,2,630,54
201607,20/06/16,63569,71894/N&C BUILDING PRODUCTS LTD ,-92.32,2,720,56
201711,23/11/17,77204,89430/CORAM SHOWERS LIMITED ,35.21,2,700,58
201710,02/10/17,75184,85794/SOUTHERN TANK SERVICES LTD ,-960,2,720,56
201708,17/08/17,73872,83740/ROBERT LEE(LONDON)LTD ,-250.56,2,720,56
201703,06/03/17,70034,79308/BROUGHTON CRANGROVE ,55.97,2,700,58
