PRODUCT	ATT 1	ATT 2	ATT 3	ATT 5	ATT 6	ATT 7	ATT 9	ATT 10	ATT 11	ATT 13	ATT 14	ATT 15	ATT 20	ATT 22	ATT 31	ATT 32
492302	MDPE 25MM X 1" MALE ADAPTOR	24	61215	211	211	62200	62200	7363	0	16402	1		S	492302	1	
MCMPA16	16X2MM MANIFOLD PIPE ADAPTOR	121	13010	272	240	32000	32000	5500	0	14400	1		S	MPA16	1	1
492303	MDPE 25MM X 1" FEMALE ADAPTOR	24	61215	228	228	67000	67000	7358	0	17701	1		S	492303	1	
BBB10ECS	CLEARWATER CLEARSTONE TEARDROP BASIN	262	20120	0	0	2908300	2908300	1000	1000	2355723	1		S	B10ECS	1	
MCMPA20	20X2.25MM MANIFOLD PIPE ADAPTOR	121	13010	329	291	38800	38800	5500	0	17460	1		S	MPA20	1	1
BRCHREFSNKBN	CHERRY EFSNK BRUSHED NICKEL	108	21809	12000	11000	1666700	1666700	5450	0	758348	1		S	CHR EFSNK BN	1	
IDLP24	IDEAL LOGIC PLUS 24KW COMBI BOILER	264	11616	62400	60400	5448700	5448700	0	0	5448700	1		S		1	
L178RT	MERLYN LEVEL 25 1700 X 800 RECTANGLE 1700 X 800	50	13051	32915	29056	4540000	4540000	5500	0	2043000	1		S	L178RT	1	
BBARC67NKL	ARCADE NICKEL TAP LEVERS (PAIRS)	262	20120	3987	3590	550000	550000	5500	0	247500	1		S	ARC67.NKL	1	
BBCL15QT	BURLINGTON QT CLAREMONT DECK BSM	262	20120	33833	30464	4666700	4666700	4000	0	2800020	1		S	CL15-QT	1	
SANIFLO	SANIFLO	256	18150	28999	22500	1994400	1994400	0	0	1994400	1		S	1001	1	
IDLP30	IDEAL LOGIC PLUS 30KW COMBI BOILER	264	11616	68900	66900	6121700	6121700	0	0	6121700	1		S		1	
IDLP35	IDEAL LOGIC PLUS 35KW COMBI BOILER	264	11616	77400	75300	7014900	7014900	0	0	7014900	1		S		1	
GE35SC	GLOWWORM ENERGY STORAGE 35	268	61825	133700	131100		11898400	0	0	11898400	1		S	101282	1	
BRPM2CSHXARC	PRISM EXP CTRIC CHROME + KIT	110	21809	33359	30579	4633300	4633300	5450	0	2108151	1		S	PM2 CSHXAR C	1	
RP5SQ5B	RP5.5 68MM BLACK ROUND DOWNPIPE	21	61215	889	809	141800	141800	6305	0	52395	1		S	RP5Sq5B	1	
FUR148ME	METRO 500MM BASIN	91	11011	9728	8980	1496700	1496700	6000	0	598680	1		S	FUR148ME	1	
QV1012W	QUINN SLIEVE VSP 2000X505 QV1012W	5	17181	13800	12545	2509100	2509100	6250	0	940912	1		S	QV1012W	1	
ST1576	K-VIT 1500 X 760MM RECTANGLE L/P TRAY 35MM	71	11011	11700	10800	1800000	1800000	6000	0	720000	1		S	KRR1576L	1	
ST1580	K-VIT 1500 X 800MM RECTANGLE L/P TRAY 35MM	71	11011	15112	13950	2325000	2325000	6000	0	930000	1		S	KRR1508L	1	
QV1013W	QUINN SLIEVE VSP 1800X433 QV1013W	5	17181	12372	11247	2249500	2249500	6250	0	843562	1		S	QV1013W	1	
BRDSCBASC	DESCENT BAS CHROME	102	21809	9000	8250	1250000	1250000	6480	0	440000	1		S	DSC BAS C	1	
BBT58ALU	BURLINGTONHL DISTALUMINIUM CISTERN&FITTGS	262	20120	33168	29865	4575000	4575000	5500	0	2058750	1		S	T58ALU	1	
RP5SQ5W	RP5.5 68MM WHITE ROUND DOWNPIPE	21	61215	889	809	141800	141800	6305	0	52395	1		S	RP5Sq5W	1	
GP2580	UPS2 25-80 180 GB GRUNDFOS	162	80114	22900	20900	1950000	1950000	0	0	1950000	1		S	98707848	1	
ST1590	K-VIT 1500 X 900MM RECTANGLE L/P TRAY 35MM	71	11011	11700	10800	1800000	1800000	6000	0	720000	1		S	KRR1509L	1	
QV1014W	QUINN SLIEVE VSP 1800X578 QV1014W	5	17181	14275	12978	2595600	2595600	6250	0	973350	1		S	QV1014W	1	
BRACKETV	BRACKET SUITABLE FOR ERES VESSELS	151	11220	548	448	29900	29900	0	0	29900	1		S	ER-ECOBKT	1	1
BBA45CHR	BURLINGTON ORNATE SPIRE TOILET ROLL HOLDER	262	20120	7189	6473	991700	991700	5500	0	446265	1		S	A45CHR	1	
QS701868W	QUINN ADAGIO V S70 1800X680 QS701868W	5	17181	23051	21130	3841900	3841900	6250	0	1440712	1		S	QS701868W	1	
BRDSCSHCVOC	DESCENT CONCEALED DUAL CTRL VO	110	21809	18720	17160	2600000	2600000	5450	0	1183000	1		S	DSC SHCVO C	1	
HEPBTC1512	HEP2O BENT TAP CONNECTOR 90°  WT 15X1/2	251	23012	224	224	35700	35700	4800	1500	15779	1		S	HD27/15W	1	
BB33601	AQUALISA CP NEG HEAD KIT FOR 30/65 PUMP	262	20120	3815	3435	526300	526300	4000	0	315780	1		S	33601	1	
QV1016W	QUINN SLIEVE VSP 1600X505 QV1016W	5	17181	12179	11072	2214500	2214500	6250	0	830437	1		S	QV1016W	1	
BB33604	AQUALISA NEG HEAD KIT INCALUX 30/65 PUMP	262	20120	4632	4171	639000	639000	4000	0	383400	1		S	33604	1	
BRWMNT2C	WALL MOUNT KIT	109	21809	704	646	97900	97900	5450	0	44544	1		S	WMNT2 C	1	
QV1017W	QUINN SLIEVE VSP 1600X578 QV1017W	5	17181	13142	11948	2389600	2389600	6250	0	896100	1		S	QV1017W	1	
BRCAPBASNWC	CAPRI BASIN MIXER (NO WASTE)	102	21809	7500	6875	1041700	1041700	5450	0	473973	1		S	CAP BASNW C	1	
EFRC1510	WRAS 15X10MM RED COUPLING EF1R	201	23051	26	20	2136	2136	5800	0	897	1		S	69116	1	
BRJ12C	JAVA BASIN PILLAR TAPS	102	21809	8519	7809	1183300	1183300	5450	0	538401	1		S	J 1/2 C	1	
BB33620	AQUALISA WH NEG HEAD KIT FOR 30/65 PUMP	262	20120	3815	3435	526300	526300	4000	0	315780	1		S	33620	1	
BRWMNT4C	SURFACE MOUNTED PIPEWORK FITTINGS CHROME PLATED	109	21809	3780	3465	525000	525000	5450	0	238875	1		S	WMNT4 C	1	
MCPG16F1	PRESS ELBOW TO FEMALE THREAD 16X1/2	121	13010	476	420	56100	56100	5500	0	25245	1		S	PG16F1	1	1
BRWMNT5C	RECESSED WALL MOUNT FIXING CHROME PLATED	109	21809	4950	4537	687500	687500	5450	0	312812	1		S	WMNT5 C	1	
BRBRG3HBFC	BRIGHT 3HBF CHROME	102	21809	18000	16500	2500000	2500000	5450	0	1137500	1		S	BRG 3HBF C	1	
RA9CI	RA9 112MM "CAST IRON" *ANGLE	21	61215	0	0	99990000	99990000	0	0	99990000	1		S	RA9CI	1	
HONPSTATH	HONEYWELL PIPE STAT HIGH LIMIT	153	20307	2495	2295	277800	277800	3440	0	182236	1		S	L641B1012	1	
L179RT	MERLYN LEVEL 25 1700 X 900 RECTANGLE 1700 X 900	50	13051	33132	29248	4570000	4570000	5500	0	2056500	1		S	L179RT	1	
HONPSTATL	HONEYWELL PIPE STAT LOW LIMIT	153	20307	2699	2295	277800	277800	3440	0	182236	1		S	310213	1	
BRBTZ12C	BLITZ BASIN TAPS CHROME	102	21809	3750	3300	240000	240000		0	240000	1		S	BTZ 1/2 C	1	
BBARC73NKLV17	ARCADE NICKEL 1 OUTLET CONCEALED VALVE WITH FIXED ARM & 9" HEAD COMP:	262	20120	38666	34815	5333300	5333300	5500	0	2399985	1		S	ARC73.NKL+V17	1	
3618D7	900X450 DIR E7 PTL G3 F JOULE	142	10152	17026	15640	1979800	1979800	5000	0	989900	1		S	CC-B3009045FEA	1	
